id,city,squareMeters,rooms,buildYear,price,price_per_square_meter
39b55fd2777feffe5698a6bbc7093f23,krakow,32.0,2.0,1970.0,400000,12500.0
7f1c807497a29d0e1949b3510d010671,krakow,25.0,1.0,1970.0,405000,16200.0
8282935b2d9a7657530467309bb2b625,krakow,28.0,1.0,1997.0,410000,14642.857142857143
d0c885af991730a429ac631538f5190c,krakow,30.0,1.0,1974.0,410000,13666.666666666666
b775f483949b09966af161ff39f47762,krakow,26.77,1.0,2023.0,410000,15315.651849084798
8282935b2d9a7657530467309bb2b625,krakow,28.0,1.0,1997.0,410000,14642.857142857143
61aac16fe1833a28d1c1c61b4862c2fe,krakow,28.4,1.0,1980.0,410000,14436.619718309859
61aac16fe1833a28d1c1c61b4862c2fe,krakow,28.4,1.0,1980.0,410000,14436.619718309859
1420fce1dff247f41ac7fba3272e8d20,krakow,33.18,2.0,,414750,12500.0
51c518190345179d9fde29ef9fb9b81e,krakow,25.0,1.0,1999.0,415000,16600.0
fc15167abdb151ebfedd5b63fc4f7ebb,krakow,26.35,1.0,2024.0,418999,15901.290322580644
9a5921742e70561960e76191f8197602,krakow,26.77,1.0,2023.0,419000,15651.849084796415
188c9462bc58e7f5b5e1f804cc45f1df,krakow,25.1,1.0,1968.0,419000,16693.227091633464
308792b6cfbaef36bd02850371191491,krakow,25.1,1.0,1971.0,419000,16693.227091633464
0bd9b05c7465db3148b2a0b900b6b8c8,krakow,25.0,1.0,1971.0,419000,16760.0
e71e4ef0fdf7fe143f1fd6e9abb031bc,krakow,25.1,1.0,1975.0,419000,16693.227091633464
94a74f0d59c9f3d220161aa37b3d4576,krakow,25.0,1.0,,419000,16760.0
d237d3d122765b7f8f8766965c52166c,krakow,26.77,1.0,2023.0,419000,15651.849084796415
d2b814774751b8ab30589b47a40ba9ca,krakow,26.77,1.0,2023.0,419000,15651.849084796415
9a5921742e70561960e76191f8197602,krakow,26.77,1.0,2023.0,419000,15651.849084796415
c1f478db026080dfa0af2741cc2879a7,krakow,28.52,1.0,1974.0,419000,14691.444600280505
cc1e19104e5adef665a80ac385e88f86,krakow,26.77,1.0,2023.0,420000,15689.204333208816
9f902435b3732424f4fb0822d6903b2b,krakow,26.77,1.0,2023.0,420000,15689.204333208816
26d0b86aea6d1439176ffbc434a5cc56,krakow,27.0,2.0,,420000,15555.555555555555
7dfe60152ee3b1ab0bad8b84be380631,krakow,25.1,1.0,1971.0,420000,16733.067729083665
7f1c807497a29d0e1949b3510d010671,krakow,25.0,1.0,1970.0,420000,16800.0
213d51d0b97ee4f89c19525585288f20,krakow,26.77,1.0,2023.0,420000,15689.204333208816
cc1e19104e5adef665a80ac385e88f86,krakow,26.77,1.0,2023.0,420000,15689.204333208816
9f902435b3732424f4fb0822d6903b2b,krakow,26.77,1.0,2023.0,420000,15689.204333208816
26d0b86aea6d1439176ffbc434a5cc56,krakow,27.0,2.0,,420000,15555.555555555555
4b2727241d61343e75c818b721ef39ba,krakow,27.0,1.0,1980.0,420000,15555.555555555555
753438bf5bff8862098478bd0a32775f,krakow,31.0,1.0,1950.0,420000,13548.387096774193
74fc90559d81258c98807d5752fa99d9,krakow,28.0,1.0,2002.0,420000,15000.0
d9b7f629e9b9d185c11538b2fdce1dcb,krakow,36.0,2.0,1950.0,420000,11666.666666666666
9ce80a2466e9dc6f81ea9e8832dc3115,krakow,36.0,2.0,1950.0,420000,11666.666666666666
92927e0c0e13c683db4b66dfbcbc750b,krakow,36.0,2.0,1967.0,420000,11666.666666666666
92927e0c0e13c683db4b66dfbcbc750b,krakow,36.0,2.0,1967.0,420000,11666.666666666666
e71e4ef0fdf7fe143f1fd6e9abb031bc,krakow,25.1,1.0,1975.0,420000,16733.067729083665
2979515db41a69636d39b3278ceafbfc,krakow,25.0,1.0,,420000,16800.0
cc1e19104e5adef665a80ac385e88f86,krakow,26.77,1.0,2023.0,420000,15689.204333208816
9f902435b3732424f4fb0822d6903b2b,krakow,26.77,1.0,2023.0,420000,15689.204333208816
26d0b86aea6d1439176ffbc434a5cc56,krakow,27.0,2.0,,420000,15555.555555555555
370ef4d918c0039aa6f771216e93ca9b,krakow,27.0,1.0,1980.0,420000,15555.555555555555
308792b6cfbaef36bd02850371191491,krakow,25.1,1.0,1971.0,420000,16733.067729083665
e71e4ef0fdf7fe143f1fd6e9abb031bc,krakow,25.1,1.0,1975.0,420000,16733.067729083665
94a74f0d59c9f3d220161aa37b3d4576,krakow,25.0,1.0,,420000,16800.0
3afc13c496a0294ad93ac84ecb4ce5d6,krakow,33.63,2.0,,420375,12499.999999999998
b5ebb32930e3cf80a722de2dac0f604d,krakow,33.63,2.0,,420375,12499.999999999998
1585b9053e33baf3a1e23062aa17f529,krakow,26.8,2.0,1981.0,422000,15746.268656716418
d0a87cca2b89d17ba6fb8b4e41a26f6a,krakow,33.91,2.0,,423875,12500.000000000002
29010cc83106b9be8a1de5f25e13bd28,krakow,25.0,1.0,1968.0,424000,16960.0
d948108f5c1a6fd5e962b095053727f6,krakow,25.0,1.0,1968.0,424000,16960.0
1bab50d71aef140c2ce5df79c320082b,krakow,25.0,1.0,,425000,17000.0
67bfedb7fb89ab7c97ab7ff971750ad4,krakow,27.58,1.0,,425000,15409.717186366934
97d4f3f15a82edddbe8e2b4260cffd36,krakow,30.53,2.0,1962.0,427000,13986.243039633147
97d4f3f15a82edddbe8e2b4260cffd36,krakow,30.53,2.0,1962.0,427000,13986.243039633147
9b903f79d7b75604c84ed904b8bf70fc,krakow,27.3,1.0,,429000,15714.285714285714
81f072b471e3b2c750ebb9783b92c679,krakow,30.0,1.0,,429000,14300.0
6a05a77b94b90ba65c715760e827c611,krakow,30.8,2.0,1978.0,429000,13928.571428571428
422a68e7c8eb8e574e75992f092e87a9,krakow,30.8,2.0,1980.0,429000,13928.571428571428
1409a33f93fb3fe5351bf00442dc5cf7,krakow,30.8,3.0,1978.0,429000,13928.571428571428
81f072b471e3b2c750ebb9783b92c679,krakow,30.0,1.0,,429000,14300.0
ba88efd7904bf09949ba861d3ab567e2,krakow,25.32,2.0,,429000,16943.127962085309
f3696a4364e790690584bcbb8f0082e4,krakow,29.8,1.0,1997.0,429000,14395.973154362417
