id,city,buildYear,squareMeters,rooms,price,price_per_square_meter
a00b185a5b2326fce8242b8db22508ac,krakow,2016.0,25.4,1.0,485000,19094.488188976378
21ac8af827b4c3daf02125ddd44dcdf7,krakow,2016.0,25.4,1.0,485000,19094.488188976378
d19dc7b4c6462ae1dfa049d8a1697872,krakow,1965.0,25.5,1.0,459000,18000.0
d0bae9db5869c6f9d16b37fe9467201f,krakow,,25.5,2.0,489000,19176.470588235294
5c87db46300e98849cd633669edc062e,krakow,,25.5,2.0,489000,19176.470588235294
014c34adcaf70ace88453f2cc9080c61,krakow,1964.0,25.5,2.0,489000,19176.470588235294
4af74ba643bc1f7b73a03cebcef04343,krakow,1970.0,25.5,2.0,489000,19176.470588235294
c3f58c645db61e8709f1865a0f7dc0b0,krakow,2024.0,25.5,1.0,509000,19960.784313725489
55355577a3fe2040919e067a5b8a6e9c,krakow,,25.5,1.0,510000,20000.0
490c89fcc66566bccbdeec7779206c3d,krakow,2024.0,25.63,1.0,538230,21000.0
6bf49d2ab28e99cd27bf8503d5b831aa,krakow,,25.63,1.0,650000,25360.905189231369
92287eb67439e12a63adb672424d5deb,krakow,2023.0,25.72,1.0,730160,28388.802488335925
c77feb68774203f3a8c81da89e5cdd54,krakow,2017.0,25.91,1.0,599000,23118.4870706291
96922f3db5479235c6c807a66f1b1dd0,krakow,2017.0,25.91,1.0,599000,23118.4870706291
c77feb68774203f3a8c81da89e5cdd54,krakow,2017.0,25.91,1.0,619000,23890.389810883829
96922f3db5479235c6c807a66f1b1dd0,krakow,2017.0,25.91,1.0,619000,23890.389810883829
3699efa2c3e320e236fd0568a3159a23,krakow,2017.0,25.91,1.0,629000,24276.341181011194
e4b046d7aca7f38acdd88c8efc1ccda9,krakow,2017.0,25.91,1.0,629000,24276.341181011194
88659de966aebb4b6b0c6371bd29bdaa,krakow,2017.0,25.91,1.0,629000,24276.341181011194
bb0ef96bbfef684c2895d8d45b97f0be,krakow,2017.0,25.91,1.0,629000,24276.341181011194
bdef9cad2779198d1d94549bbd809786,krakow,2017.0,25.91,1.0,639000,24662.292551138555
3699efa2c3e320e236fd0568a3159a23,krakow,2017.0,25.91,1.0,639000,24662.292551138555
88659de966aebb4b6b0c6371bd29bdaa,krakow,2017.0,25.91,1.0,639000,24662.292551138555
bb0ef96bbfef684c2895d8d45b97f0be,krakow,2017.0,25.91,1.0,639000,24662.292551138555
e4b046d7aca7f38acdd88c8efc1ccda9,krakow,2017.0,25.91,1.0,639000,24662.292551138555
610a397d02d1a5e46919be906d47b383,krakow,2017.0,25.91,1.0,660000,25472.790428406021
bb0ef96bbfef684c2895d8d45b97f0be,krakow,2017.0,25.91,1.0,660000,25472.790428406021
bdef9cad2779198d1d94549bbd809786,krakow,2017.0,25.91,1.0,660000,25472.790428406021
3699efa2c3e320e236fd0568a3159a23,krakow,2017.0,25.91,1.0,660000,25472.790428406021
4654ccfdce51c0f2713ff0b9f560b72f,krakow,,25.92,1.0,590000,22762.345679012345
925f4cd5c0dce038bcdc9b65728ad420,krakow,2017.0,25.99,1.0,517201,19900.0
3b477b8c8b1d1dd83b216262e095a148,krakow,1890.0,26.0,2.0,399000,15346.153846153846
499c9af4091693d06e1c229ad033b3e4,krakow,1988.0,26.0,1.0,430000,16538.461538461539
65712d5c71ea1bbb664374694e3a38de,krakow,1981.0,26.0,1.0,435000,16730.76923076923
9c71b1df26cff885b1b8215d0922a9ff,krakow,2020.0,26.0,1.0,450000,17307.692307692309
26b7de3ab45d22e0fc825503fb9c8658,krakow,,26.0,1.0,485000,18653.846153846152
4af93ea331dd88baef4680d052019cfa,krakow,2016.0,26.0,1.0,485000,18653.846153846152
fc54fb8c0ddb1ed75cf9140d002b6dbc,krakow,2016.0,26.0,1.0,485000,18653.846153846152
6285567c273f580435e729da073e33d4,krakow,,26.0,1.0,490000,18846.153846153848
d135a98e0e9dd2fd37f5cbc27e1372ff,krakow,1970.0,26.0,1.0,498000,19153.846153846152
8045a65323166c542cd3701179d53f43,krakow,,26.0,1.0,499000,19192.307692307691
2c54b22cd403e09eb5a6f9a621ff5332,krakow,2005.0,26.0,1.0,523000,20115.384615384617
a611234a8e36a26cf960e011d95b9d4c,krakow,2018.0,26.0,1.0,585000,22500.0
0154bd073f7fb8b32468f294ad92613b,krakow,1900.0,26.0,1.0,590000,22692.307692307691
27be4cc2a6bf1c7b5de652c5cbbeb5b6,krakow,2017.0,26.0,1.0,629000,24192.307692307691
4d4809040f36d025255e955f654468bc,krakow,2017.0,26.0,1.0,629000,24192.307692307691
59584ac606ae4ed7fd7c0a13296febde,krakow,2017.0,26.0,1.0,629000,24192.307692307691
cebd5868e04dd0cc18eacd6b32c8b17d,krakow,2017.0,26.0,1.0,629000,24192.307692307691
e395020bc6f5e1d80c6f95857d4de863,krakow,2017.0,26.0,1.0,629000,24192.307692307691
29944cbdd864d885792a1e79f42da19d,krakow,2017.0,26.0,1.0,629000,24192.307692307691
831cdd9f11bb3da79d535f76caac4ec0,krakow,2017.0,26.0,1.0,629000,24192.307692307691
4398b3d9b148bb7a8f859edd442c8c67,krakow,2017.0,26.0,1.0,629000,24192.307692307691
8752193c268971c2e179549c55176f68,krakow,2017.0,26.0,1.0,629000,24192.307692307691
88d605c26d314791892c828cf0547b60,krakow,2022.0,26.0,1.0,634000,24384.615384615383
1dcaa5ad05a2e9280f67a4a6a2daba12,krakow,2017.0,26.0,1.0,639000,24576.923076923078
a121613dcd71f4cc61f04d1782f701ff,krakow,2017.0,26.0,1.0,639000,24576.923076923078
27be4cc2a6bf1c7b5de652c5cbbeb5b6,krakow,2017.0,26.0,1.0,639000,24576.923076923078
29944cbdd864d885792a1e79f42da19d,krakow,2017.0,26.0,1.0,639000,24576.923076923078
